	0	1	2	3	4	5	6	7	8
163	89968240860849	20782	gzip	283193720	8	R	6	0	3a4154e41d6c227b53b3e798ff7e4970
164	89968240860849	20782	gzip	283193720	8	R	6	0	3a4154e41d6c227b53b3e798ff7e4970
165	89968240898700	20782	gzip	283193728	8	R	6	0	ca703fa32500f3e9d3883509555b5f08
166	89968240898700	20782	gzip	283193728	8	R	6	0	ca703fa32500f3e9d3883509555b5f08
167	89968240937041	20782	gzip	283193736	8	R	6	0	4ded500c4d1ee416c2a0d7633adf56fa
168	89968240937041	20782	gzip	283193736	8	R	6	0	4ded500c4d1ee416c2a0d7633adf56fa
169	89968240975055	20782	gzip	283193744	8	R	6	0	f5e09c7e73014298e9fbd875e2713903
170	89968240975055	20782	gzip	283193744	8	R	6	0	f5e09c7e73014298e9fbd875e2713903
171	89968241012860	20782	gzip	283193752	8	R	6	0	ca57b77462519bed1e0b4975441839c1
172	89968241012860	20782	gzip	283193752	8	R	6	0	ca57b77462519bed1e0b4975441839c1
173	89968241050801	20782	gzip	283193760	8	R	6	0	392f2ac022bf5d3cb02875e8b0471559
174	89968241050801	20782	gzip	283193760	8	R	6	0	392f2ac022bf5d3cb02875e8b0471559
175	89968241088448	20782	gzip	283193768	8	R	6	0	e8721b3e9dc69ad33a1c44aebb953e4c
176	89968241088448	20782	gzip	283193768	8	R	6	0	e8721b3e9dc69ad33a1c44aebb953e4c
177	89968241567642	20782	gzip	283193776	8	R	6	0	72febae0d9e8c929674ca781a9c838aa
178	89968241567642	20782	gzip	283193776	8	R	6	0	72febae0d9e8c929674ca781a9c838aa
179	89968241606895	20782	gzip	283193784	8	R	6	0	3f749376b8335c09d6b028e2ddc8b4c6
180	89968241606895	20782	gzip	283193784	8	R	6	0	3f749376b8335c09d6b028e2ddc8b4c6
181	89968241644412	20782	gzip	283193792	8	R	6	0	3baa7c4bf0ec698d86a473c53cd434d1
182	89968241644412	20782	gzip	283193792	8	R	6	0	3baa7c4bf0ec698d86a473c53cd434d1
183	89968241683147	20782	gzip	283193800	8	R	6	0	da9e9a01c64bc00c4351f64d6182e864
184	89968241683147	20782	gzip	283193800	8	R	6	0	da9e9a01c64bc00c4351f64d6182e864
185	89968241724679	20782	gzip	283193808	8	R	6	0	23f8f407aee41ede9237a5db98cd0f79
186	89968241724679	20782	gzip	283193808	8	R	6	0	23f8f407aee41ede9237a5db98cd0f79
187	89968241763029	20782	gzip	283193816	8	R	6	0	0618dd1da68baf41ae46020484de929d
188	89968241763029	20782	gzip	283193816	8	R	6	0	0618dd1da68baf41ae46020484de929d
189	89968241802639	20782	gzip	283193824	8	R	6	0	41ef1c8c636e9a3487ff3864ff70a948
190	89968241802639	20782	gzip	283193824	8	R	6	0	41ef1c8c636e9a3487ff3864ff70a948
191	89968241840162	20782	gzip	283193832	8	R	6	0	e070fdbf45c9c6d26d1dbdb80409d366
192	89968241840162	20782	gzip	283193832	8	R	6	0	e070fdbf45c9c6d26d1dbdb80409d366
193	89968241877899	20782	gzip	283193840	8	R	6	0	b0d46aa22572f15803585e5a12debe14
194	89968241877899	20782	gzip	283193840	8	R	6	0	b0d46aa22572f15803585e5a12debe14
195	89968241915286	20782	gzip	283193848	8	R	6	0	b9aa939ca55ae1f9e5c896efacf5c639
196	89968241915286	20782	gzip	283193848	8	R	6	0	b9aa939ca55ae1f9e5c896efacf5c639
197	89968251416685	20782	gzip	283193856	8	R	6	0	8cfe98c7ceb30121d76c4c86f41add1f
198	89968251416685	20782	gzip	283193856	8	R	6	0	8cfe98c7ceb30121d76c4c86f41add1f
